Design Name,Product ID,Preview,Design Link,Category,Size,Review Status,Comments,Active?,Total Ordered,Total Cost,Avg Cost / Sticker,Qty Sold,Qty Remaining,Default Price,Net Revenue,Gross Profit,Status,Reorder?,Notes
Round 1,,,,,,,,,,,,,,,,,,,
Aba Mina,STK-1,,https://drive.google.com/uc?export=view&id=1c6qhyLQqfOj3KqGScxz1z6baVJ8830i5,Martyrs,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Abouna Bishoy Kamel,STK-2,,https://drive.google.com/uc?export=view&id=1JF6CpNlunkck8nbe6nd-RDYozakmOb8T,Saints,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Anba Wannas,STK-3,,https://drive.google.com/uc?export=view&id=1-FKrBaR_Xb0MuGa_jKDyf_YbF4AdyhCR,Martyrs,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Archangel Gabriel,STK-4,,https://drive.google.com/uc?export=view&id=1q47VPjkrvtnkesolj1mHiF0yjqMHSgbj,Angels/Heavenly ,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Archangel Michael,STK-5,,https://drive.google.com/uc?export=view&id=1hGZ-B9NY0ggq5rEYVLbswAcyis--Qzu5,Angels/Heavenly ,8cm,Approved,"[Apr 23, 12:51 PM] Fixed the t",,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Ava Antonios,STK-6,,https://drive.google.com/uc?export=view&id=1LM-rCDZlrdvrvTYS3AdekiwGE1XO1pvo,Saints,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Ava Arsenious,STK-7,,https://drive.google.com/uc?export=view&id=1xH1VYdCTM9BbrktE1kIjoHzjlDrTlUdg,Saints,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Ava Ignatius,STK-8,,https://drive.google.com/uc?export=view&id=1yRjXrPQ63aaNazZr8q2UIyDIa6XKIQDV,Saints,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
Chrsit Passion Week,STK-9,,https://drive.google.com/uc?export=view&id=1Dg92-qRMXCpvoydFPb51kqWsGbJHdAth,Christ,8cm,Approved,,,61,$9.65,$0.16,-,61,$0.70,-,-,In stock,,
